category,subcategory,level,answer,pred,response
Semantics,Rhetorical Expressions,1,C,,[EMPTY_RESPONSE]
Syntax,Embedded Clauses,1,C,,[EMPTY_RESPONSE]
Syntax,Embedded Clauses,1,C,C,"### 생각 과정
문제는 주어진 문장 중 **‘주어’의 역할을 하는 것**을 찾는 문제이다. 주어(주어)는 문장의 주체로, 주로 **이/가**로 표시된다. 각 문장을 분석해 보자.

- **A**: ""규명해야 한다""의 주어가 생략되어 있음.  
- **B**: ""당신이""는 **임을**의 일부로 사용되며, 주어가 아님.  
- **C**: **""아네모네가""**가 **이/가**로 명확히 주어로 표시되고, ""불분명하다""의 주체로 작용함.  
- **D**: ""전달했다""의 주어 생략.  
- **E~J**: 모두 **은/는**으로 주제화가 되었으며, 실제 주어는 문장 내 다른 부분(예: ""식감이"", ""성실성"")에 있음.  

**C**는 유일하게 **이/가**로 명확히 주어 역할을 하는 문장이다.

### ANSWER
C"
Syntax,Embedded Clauses,1,G,,[EMPTY_RESPONSE]
Syntax,Embedded Clauses,1,G,D,"문장에서 ‘주어’는 문장의 주체를 나타내는 부분으로, 일반적으로 이/가로 표기된다. 옵션을 분석하면 **D: 모녀가 공부에 방해되게 자꾸 옆에서 바스락거렸다**에서 **모녀가**가 ‘가’를 사용해 주체로 명확히 표시되어 있다. 다른 옵션들은 주로 ‘은/는’으로 주제(topic)를 표시하거나 부사절 내 주체를 사용하므로 D가 가장 적합하다.

### ANSWER
D"
Syntax,Embedded Clauses,1,C,,[EMPTY_RESPONSE]
Pragmatics,Implicature,1,C,C,"### ANSWER  
C  

**Reasoning:**  
갑의 ""우리는 저런 데 언제쯤 가 보나?"" 표현은 해당 장소를 방문하고 싶은 의도를 나타내며, 이는 방송에 나온 장소에 대한 관심과 방문 의망을 함축한다. 을의 대답은 단순히 TV에서 보일 때의 아름다움을 언급할 뿐 방문 의망은 표현하지 않는다. 따라서 정답은 갑이 방문하고 싶다고 생각한다는 C 항목이다."
Semantics,Rhetorical Expressions,1,H,H,"지문에서 ""날아올랐다""는 운동의 방식(비행, 급격한 상승)을 설명하는 비유적 표현이 필요합니다. 대부분의 선택지는 비행이나 가벼운 상승을 나타내는 적절한 비유입니다(A: 시간 정지된 듯, B: 새처럼, C: 중력 없는 듯, E: 깃털처럼, I: 용수철처럼, J: 화살처럼). 그러나 H: ""거대한 산처럼""은 무겁고 정적인 산을 비유로 사용해 운동과 상충되므로 적절하지 않습니다. 또한 D, F, G도 구조상 문제일 수 있지만, H가 가장 명확히 논리적 오류를 발생시킵니다.

### ANSWER
H"
Semantics,Numeral Classifiers,1,B,B,"지문에서 트레이닝복 상하의 세트가 소진되고 있으므로, 적절한 수량을 주문해야 한다. ""상하의 세트""는 한 벌로 간주되며, 의복 세트에 사용되는 단위는 ""벌""이다. 따라서 ""세 벌 주문해""가 가장 적절한 답변이다.  

### ANSWER  
B"
Semantics,Numeral Classifiers,1,I,D,"### 분석:  
각 문장을 검토하면, **D: 담배 한 보루면 넉넉히 피겠지.** 가 가장 어색하다. ""보루""는 담배의 표준 수량 표현이 아니며(보통 ""한 봉지"" 또는 ""한 개"" 사용), 문장 구조도 불자연스러워 통용성이 없다. 다른 옵션은 수식어와 문법이 적절하게 사용되어 자연스럽다.  

### ANSWER  
D"
Semantics,Numeral Classifiers,1,E,E,"### 생각 과정
문제는 주어진 문장 중 가장 어색한 것을 찾는 것입니다. 각 문장을 간략히 분석해 보자.  
- **A, B, D, F, G, J**: 문법 및 표현이 자연스럽고 문제 없음.  
- **C**: 논리적으로 가능함 (종이를 잘라 네 장으로 만들기).  
- **H**: 구조가 복잡하지만 문법 오차 없음.  
- **I**: ""우유 한 팩이면 배가 아팠다""는 조건문에서 시제 불일치 오차(현재형이 필요함)가 있으나, 문장 구조는 완전함.  
- **E**: ""고양이가 한 필 있다""는 **카운터 오차**로, 고양이에 ""필""을 사용하는 것이 잘못됨(""마리""가 정상). 이 오차는 한국어에서 매우 눈에 띄고 어색한 문법 오류임.  

E의 카운터 오차가 가장 심각하고 명확히 어색함.

### ANSWER
E"
Syntax,Agreement,1,B,B,"문제에서 ‘-겠’, ‘-을 것’이 ‘추측’의 의미로 사용된 문장을 찾아야 한다. ‘추측’은 관찰이나 추론에 기반한 예측을 의미한다.  

- **옵션 B**: “뱀장어는 뱃가죽도 뱀처럼 생겼겠군.” 여기서 ‘생겼겠군’은 관찰에 기반한 추측(뱀장어의 가죽이 뱀처럼 생긴 것처럼 보인다)로 ‘-겠’이 추측의 의미로 사용되었다.  
- 다른 옵션들은 ‘-겠’이나 ‘-을 것’이 의도(예: E, F), 보고(예: D, H), 정형적 예측(예: G), 또는 의문형(예: C, I) 등 추측이 아닌 의미로 사용된다.  

따라서 B가 정답이다.  

### ANSWER
B"
Syntax,Embedded Clauses,1,E,D,"### ANSWER  
D  

**Reasoning:**  
Option D contains a clear grammatical error: ""피부과에 **지안** 할거야"" uses ""지안"", which is not a valid Korean word or form. It likely intends ""가지지 안할거야"" (I won’t go), making the sentence incorrect. All other options are grammatically valid Korean sentences with proper structure and vocabulary."
Syntax,Agreement,1,E,E,"### 분석  
‘-겠’과 ‘-을 것’은 화자의 계획이나 결심을 표현할 때 사용된다. ‘-겠’은 화자가 스스로 결정한 행동(계획)을 나타내며, ‘-을 것’은 미래에 할 것임을 강조한다. 문제에서 화자의 계획을 반영하는 경우를 찾아야 한다.  

- **E**: “거짓말투성이인 사람과는 이제 작벌**하겠습니다**.” 여기서 ‘하겠습니다’는 화자가 스스로 결정한 행동(계획)을 나타내며, 직접적인 의도 표현이다.  
- 다른 옵션들은 추측, 사실陈述, 상황의 결론 등으로 화자의 계획을 반영하지 않는다.  

### ANSWER  
E"
Syntax,Agreement,1,E,F,"### 생각 과정
문제는 선어말어미 또는 '-ㄹ 것'을 사용하여 **아직 일어나지 않은 일을 완성시키고자 하는 의도**를 반영한 문장을 찾는 것입니다.  
- **선어말어미**는 용언 어간에 붙어 의미를 추가하는.suffix로, 예시로 `-겠다`, `-구나` 등이 있습니다.  
- **'-ㄹ 것'**은 미래"
Syntax,Argument Structure & Valency,1,E,E,"문제에서 꺽쇠 안의 단어가 주어(주어)가 아닌 것을 찾아야 한다. 주어는 일반적으로 '이/가'로 표시되거나 주제화된 '은/를'로 표시될 수 있다.  
- A, B, C, H, F는 '이/가' 또는 '은/를'을 사용해 주어로 작용한다.  
- D, I, J는 '은'으로 주제화되었지만 주어로 인식된다.  
- G는 '이라도' 내에 '이'가 포함돼 주어로 작용한다.  
- **E는 '수술'이 '이'를 생략하고 단독으로 나와 있으므로 주어가 아니다.**  

### ANSWER
E"
Syntax,Argument Structure & Valency,1,I,,[EMPTY_RESPONSE]
Syntax,Agreement,1,J,J,"### 분석  
문제는 ‘-겠’, ‘-을 것’이 ‘의지’(의도, 결심) 의미로 쓰인 문장을 찾는 것입니다. ‘의지’는 화자의 의도나 결심을 나타낼 때 사용됩니다.  

- **A, B, C, D, E, G**: ‘것이야’/‘것이야’ 등은 예측이나 일반적 사실을 나타냅니다 (예: “나쁠 것이야” = 예측).  
- **F, I**: ‘-겠’가 관측에 기반한 추정(“나오겠군”, “녹겠죠”)으로 의지 아님.  
- **H**: ‘-을 것 같아’는 추정 표현.  
- **J**: “세면대에서 얼굴을 씻겠다”에서 ‘-겠다’는 화자의 **결심/의지**를 나타냄 (“이제 씻기로 했다”).  

### ANSWER  
J"
Semantics,Semantic Compatibility,1,C,C,"### ANSWER
C

**Reasoning:**  
""배를 달래고자 허기를 먹었다"" reverses the logical cause-effect: one soothes hunger (허기) by eating, not ""eats hunger"" to soothe the stomach. This structure is grammatically and semantically incorrect. Other options use standard idioms or natural expressions."
Semantics,Semantic Compatibility,1,E,E,"### 추론:  
문제는 가장 부적절한 선지를 고르는 것이며, 각 선택지를 문맥적 적절성으로 평가해야 한다. 선택지 E(""하늘엔 주식이 밝게 빛나고 있었다"")는 ""주식""이 주식(금융 용어)으로 사용되면서 하늘에 빛나는 물리적 현상과 불일치하며 논리적 오류가 발생한다. 다른 선택지는 모두 일상적 또는 문화적 표현으로 적절하다.  

### ANSWER  
E"
Semantics,Semantic Compatibility,1,D,D,"문제에서 가장 어색한 선지는 음악을 마시다라는 표현이다. '음악을 마시다'는 물리적으로 불가능한 표현으로, 음악은 '듣다'가 적절하며 '마시다'는 음료나 주스와 같은 물체에 사용된다. 다른 선택지는 모두 자연스러운 문장이다.

### ANSWER
D"
Semantics,Semantic Compatibility,1,A,B,"### 생각 과정
주어진 문장 중 문법적 오류, 논리적 불일치, 또는 표현의 어색함을 확인해야 한다.  
- **A**: ""급히 집을 들고 뛰었다""는 ""집을 들고""가 집을 물건처럼 가져간다는 의미로 논리적으로 불가능해 어색하다.  
- **B**: ""조용한 새벽 우연히 일어나 커피를 내린다""는 주어(""조용한 새벽"")가 ""일어나""와 ""커피를 내린다"" 동사에 일관없이 연결되어 논리적 오류가 심하다(새벽이 커피를 내리는 것은 불가능). 또한 ""새벽이 일어나다""는 표현도 부적절해 가장 어색하다.  
- **C~J**: 문법과 의미가 맞고 자연스럽다.  

**B**는 주어와 동사의 불일치와 표현 방식이 가장 심각해 가장 어색하다.

### ANSWER
B"
Semantics,Semantic Compatibility,1,I,I,"### 추리:  
문제에서 가장 어색한 표현을 찾아야 한다. 옵션 I(""맥주가 주차를 했다"")는 '맥주'(비생물)가 '주차'라는 동작을 하려는 것이 논리적 오류로 명확히 어색하다. 다른 옵션들은 문법이나 의미상 문제 없이 통용된다.  

### ANSWER  
I"
Syntax,Agreement,1,G,,[EMPTY_RESPONSE]
Syntax,Agreement,1,J,,[EMPTY_RESPONSE]
Syntax,Agreement,1,B,,[EMPTY_RESPONSE]
Semantics,Semantic Compatibility,1,G,,[EMPTY_RESPONSE]
Semantics,Semantic Compatibility,1,A,A,"### 분석  
각 문장을 검토해 가장 어색한 것을 찾아야 합니다.  
- **A**: ""헬스장이 눈속을 달리고 있었다""는 주어(헬스장)가 ""눈속""을 달린다는 내용으로, 물리적으로 불가능하고 의미가 통하지 않아 매우 어색합니다.  
- **B~J**: 다른 문장들은 문법적 또는 의미적 문제가 적거나 문맥에 맞게 사용 가능합니다 (예: I의 ""거북손""은 지역 특유명일 수 있음).  

### ANSWER  
A"
Semantics,Semantic Compatibility,1,J,J,"문제에서 가장 어색한 문장은 논리적 오류와 문법적 부적합이 심한 J입니다. ""헌법 제 1조가 아침을 먹었다""는 헌법 조항이 생명체처럼 행동하는 불가능한 상황을 기술하여 어색함이 극대화됩니다. 다른 선택지는 모두 통용 가능한 문장입니다.

### ANSWER
J"
Semantics,Semantic Compatibility,1,H,H,"### 분석  
문제에서 가장 어색한 표현을 찾아야 한다. 각 옵션을 검토하면:  
- **A**: ""막 도착한 그의 심장""은 비유적 사용이 가능해 어색하지 않다.  
- **B, D, E, G, I, J**: 문법 및 의미상 자연스럽다.  
- **C**: ""용모양 구름""은 중복 표현이 어색할 수 있으나 문맥상 통용 가능하다.  
- **F**: ""기하학적 해체가 백미이다""는 비유가 부자연스러우나 통용될 수 있다.  
- **H**: ""푹신한 코코아에서 소파를 마신다""는 **소파를 마신다**라는 표현이 전혀 논리적이지 않다(소파는 마실 수 없음). 이는 문법·논리 모두 극도로 어색하다.  

### ANSWER  
H"
Semantics,Semantic Compatibility,1,G,G,"### 추론:  
문제에서 가장 어색한 문장은 논리적 연결이나 문맥상 부적합한 표현이 있는 경우입니다. 옵션 G(""고정 금리가 드론을 정교하게 조종한다"")는 금리(금융 개념)와 드론 조종(기술적 동작) 사이에 전혀 관련성이 없어 어색합니다. 다른 옵션들은 문법적 또는 맥락상 문제 없이 자연스럽습니다.  

### ANSWER  
G"
Semantics,Semantic Compatibility,1,B,J,"### Reasoning
- **Option B** (""고기가 저녁 만찬을 요리했다"") is illogical because meat cannot cook dinner; the subject (meat) cannot perform the action (cooking).  
- **Option J** (""연필이 내는 사각사각 소리를 사랑한다"") is more severely awkward: a pencil does not emit sound on its own, and ""사각사각 소리"" (square-square sound) is a nonsensical description—sound cannot be ""square."" This combines a subject-action mismatch with an impossible attribute, making it the most incoherent and unnatural phrase.  

### ANSWER
J"
Semantics,Semantic Compatibility,1,C,C,"### 추론:  
문제에서 가장 어색한 표현을 찾아야 한다. 옵션 C(""부동산 가격이 사각거렸다"")는 ""사각거리다""라는 비정상적인 동사 사용으로 부동산 가격이 사각형을 형성한다는 뜻이 되지 않아 문법적·의미적 오류가 뚜렷하다. 다른 옵션들은 문법적으로 적절하거나 통용된 표현이다.  

### ANSWER  
C"
Semantics,Semantic Compatibility,1,H,H,"### ANSWER
H

**이유**: ""바위를 마신다""는 물리적으로 불가능하고 문맥상 어색한 표현이다. 다른 문장들은 자연스러운 문법과 의미를 가짐에 반해, 바위를 마시는 행위는 논리적 오류이다."
Semantics,Semantic Compatibility,1,E,E,"### 추론:  
문제에서 가장 어색한 문장은 논리적 오류나 문법적 불일치를 보여야 합니다. 옵션 E(""나른한 오후에 커피가 책을 읽었다"")는 '커피'가 주체로 '책을 읽었다'라는 동작을 하려 하며, 무생물이 자발적으로 행동하는 불가능한 상황을 묘사합니다. 다른 문장들은 시적 표현이나 일반적인 문구이지만 E만이 명백한 논리적 오류를 가집니다.  

### ANSWER  
E"
Semantics,Semantic Compatibility,1,F,F,"### 추론:
문제에서 가장 어색한 문장은 논리적 오류나 문법적 불일치로 인해 이해가 어려운 것을 찾아야 합니다.  
- **F: 맥주가 주차를 했다**는 ""맥주(beer)""가 ""주차를 했다(parked)""라는 동사와 논리적으로 연결되지 않아 의미가 통하지 않습니다. 맥주가 주차할 수 없기 때문에 매우 어색합니다.  
- 다른 옵션들은 문법적으로 정상하거나 통용되는 표현입니다.

### ANSWER
F"
Semantics,Semantic Compatibility,1,G,G,"### 추론:  
각 문장을 분석해 보면, **G: 설계는 의자가 담당했다**는 문장이 가장 어색하다. 여기서 ""의자""가 ""설계""를 담당했다는 내용은 논리적 오류가 발생하며, 의자가 설계를 책임질 수 없기 때문이다. 다른 문장들은 문법이나 의미상 자연스럽다.  

### ANSWER  
G"
Semantics,Semantic Compatibility,1,B,B,"### 추론:  
문제에서 가장 어색한 문장은 논리적 또는 문법적 오류가 심한 것을 찾아야 합니다.  
- **B: ""급히 집을 들고 뛰었다.""**는 ""집""을 물리적으로 들고 뛰는 행위를 나타내지만, 집(건축물)을 실제로 들고 달릴 수 없어 명확히 비현실적이고 어색합니다.  
- 다른 옵션들은 비유적 또는 문법적으로 적절하게 구성되어 있습니다 (예: A, F, H는 비유적 표현, D, E, G, J는 일상적/비즈니스 문장).  

### ANSWER  
B"
Semantics,Semantic Compatibility,1,G,G,"### 추론:  
문제에서 가장 어색한 문장은 의미가 통하지 않거나 문법적으로 잘못된 것을 찾아야 한다.  
- **G**: ""하늘엔 주식이 밝게 빛나고 있었다""는 '주식'(금융 용어)이 하늘에서 빛나다고 언급해 현실적이지 않으며 비유도 통하지 않아 매우 어색하다.  
- 다른 옵션들은 문법적 또는 의미적 통용성이 있다.  

### ANSWER  
G"
Pragmatics,Discourse Principles,1,J,J,"### ANSWER
J"
Syntax,Agreement,1,F,A,"지문에서 A는 ""먹고 있다""로 현재 진행 중임을 나타내고, B는 ""갔었다""로 과거 완료를 나타내고, C는 ""사용해 왔다""로 현재까지 진행 중임을 나타낸다. 이에 따라 A-현재/진행, B-과거/완료, C-현재/진행이 정답이다.

### ANSWER
A"
Syntax,Agreement,1,I,,[EMPTY_RESPONSE]
Semantics,Semantic Compatibility,1,E,E,"### 추론
문장 ""철수가 산 책 한 권이 학교를 지나 개천으로 달렸다""에서 주어 ""책 한 권""이 서술어 ""달렸다""(달리다의 과거형)에 부합하지 않습니다. 책이 달리라는 행위는 의미상 불가능하므로 **의미적 부적합**이 문제입니다. 구조적 문제는 아니고, 주어와 서술어 간의 의미 불일치입니다.

### ANSWER
E"
Pragmatics,Implicature,1,C,C,"### 추리  
서술자는 게임의 캐릭터가 친구와 닮았지만, 친구가 불쾌해할 것을 우려해 말할 수 없었다고 언급하며 그 생각을 마음속에만 묻어두었다. 이로 보아 서술자는 앞으로도 친구에게 그 이야기를 하지 않을 의도로 보인다. 다른 선택지는 텍스트의 주요 생각과 일치하지 않는다.  

### ANSWER  
C"
Syntax,Embedded Clauses,1,C,,[EMPTY_RESPONSE]
Semantics,Numeral Classifiers,1,E,E,"### 분석
문제는 분류사 사용이 자연스럽지 않은 문장을 찾는 것입니다. 분류사는 명사와 함께 사용되어 개수를 나타내는 특수한 단어입니다. 각 옵션에서 분류사의 사용을 검토해 보겠습니다.  
- **E**: ""쇠고기 한 말이 이렇게 비싸다니 놀랍다."" 여기서 **말**은 생물(소, 말 등)을 세는 분류사이지만, **"
Semantics,Numeral Classifiers,1,G,G,"### ANSWER  
G  

**Reasoning:** 문제집은 책 형태의 교재이므로 '권'이 적절한 분류사입니다. '장'은 종이나 페이지에, '단'이나 '줄'은 문장/행에 사용됩니다. '한 권'이 책의 개수를 나타낼 때 표준 표현입니다."
Semantics,Semantic Compatibility,1,D,D,"문장 중 서술어와 논항의 의미적 호응이 없는 것은 **D: 이해관계를 인상하다**이다. ""인상하다""는 주로 '인상적이다' 형태로 사용되며, ""이해관계""가 직접적인 목적어로 사용될 때는 의미가 일치하지 않는다. 다른 옵션들은 논항과 서술어가 의미적으로 적절히 연결된다.

### ANSWER
D"
Semantics,Rhetorical Expressions,1,J,J,"지현이가 기말고사를 내일 보지만 오늘 공부를 시작해 시간이 부족해서 초조하다고 한 상황을 비유적으로 표현할 때, '발등에 불똥이 떨어졌다'는 시간이 부족해 위기감을 느끼는 상황을 비유적으로 나타내는 표현이다. 다른 옵션들은 공부 시작 지연이나 초조함을 표현하지 않거나 전혀 다른 의미를 가짐.

### ANSWER
J"
Semantics,Semantic Compatibility,1,I,I,"서술어와 논항의 의미적 호응을 검토하면, ""벽이 물감을 칠한다""에서 벽이 자발적으로 물감을 칠하는 것은 불가능하다. 일반적으로 물감이 벽을 칠하며, 벽이 주체로서 동작을 수행할 수 없으므로 의미적 불일치 발생.

### ANSWER
I"
Semantics,Conjunctions,1,D,D,"### 분석  
첫 문장은 인공지능 기술의 빠른 발전을 언급하고, 두 번째 문장은 이 발전을 모든 사람이 체감하지 못한다는 대조적 사실을 제시합니다. 세 번째 문장은 소외계층이 정보격차로 인해 난관을 겪는 구체적 사례를 설명합니다. 자연스러운 흐름을 위해 첫 번째와 두 번째 문장 사이에는 **""하지만""**이 대조를 명확히 하며, 두 번째와 세 번째 문장 사이에는 **""예컨대""**로 소외계층을 구체적 예로 제시하는 것이 적절합니다.  

### ANSWER  
D"
Semantics,Conjunctions,1,H,H,"### 분석:  
각 문항에서 접속 부사의 사용이 논리적 인과관계 또는 대조관계를 적절히 나타내는지 확인해야 합니다. 특히 **H문항**에서 ""그러므로""는 인과관계를 나타내므로, 배터리 닳음이 충전 단자 고장의 직접적인 원인이라고 주장하지만, 배터리 상태와 충전 단자 고장은 서로 직접적인 인과관계가 없기 때문에 사용이 부적절합니다. 다른 문항들은 모두 논리적 연결이 적절합니다.  

### ANSWER  
H"
Semantics,Word Relationships,1,I,I,"### Reasoning
The question asks which option forms a meaning relationship with ‘고치다’ in the example ""고장난 컴퓨터를 고치다"" (to repair a broken computer), analogous to the relationship in <보기> 1 (""보다, 전망하다""). In the example, ‘고치다’ specifically means **to repair** a malfunctioning object. Among the choices, **수리하다** (option I) is the direct synonym for ""to repair"" in this context, matching the meaning of ‘고치다’ when fixing a broken item. Other options like 수정하다 (revise) or 치료하다 (treat) do not convey the same physical repair connotation for objects like computers.

### ANSWER
I"
Semantics,Word Relationships,1,A,A,"### 추론: “질문하세요”는 ‘궁금한 것을 물어보세요’의 뜻으로, 직접적인 질문을 유도한다. “물어보세요”(A)도 동일한 의미이며, 다른 옵션은 ‘설명’, ‘답변’, ‘논의’ 등 다른 행위를 지칭한다.  
### ANSWER  
A"
Pragmatics,Discourse Principles,1,A,A,"### 추론  
문제는 '제출 기한을 하루 늦춰 주실 수 있나요?'에 대한 반응 중 가장 적절한 설명을 찾는 것입니다. '규칙은 규칙입니다'는 기한을 늦출 수 없다는 의미를 전달할 때, 필요한 설명이나 유연성 없이 단순히 규칙을 반복함으로써 정보가 부족하다는 점을 강조합니다. 이에 가장 잘 부합하는 옵션은 A입니다. 다른 옵션들은 잘못된 논리(예: 거짓 정보 제공, 관련성 위반 등)를 사용하거나 의미가 역전된 설명을 제공합니다.  

### ANSWER  
A"
Pragmatics,Discourse Principles,1,C,C,"### 추론  
문제의 질문은 '작은 아버지 한 번 보고 갈 테냐?'에 대한 반응의 관련성 평가이다.  
- 옵션 C의 반응 '눈이 많이 오네요, 아버지'는 대화 주제(아버지 만남)와 전혀 관련이 없는 기상 정보로 주제를 전환하므로 **고의로 대화의 관련성을 위반**한다.  
- 다른 옵션들은 정보 부족, 사실성 문제, 불명확성 등 잘못된 설명을 제공한다. C가 유일하게 정확히 관련성 위반을 지적한다.  

### ANSWER  
C"
Syntax,Argument Structure & Valency,1,G,C,"지문에서 피동 표현으로 바꾸면서 논항 구조가 적절하지 않은 문장을 찾아야 한다. 피동 표현에서 에 의해로 작용자를 나타낼 때, 같은 동사에 다른 참여자를 과로 연결하면 구조가 불일치된다.  

옵션 C: ""한옥 만들기 프로젝트가 학생들에 의해 ... 동아리 선생님과 진행되고""에서 학생들에 의해(작용자)와 동아리 선생님과(참여자)를 같은 진행되고 동사에 동시에 사용해 논항 구조가 혼란스러워지며, 문법적으로 부적절하다. 다른 옵션들은 피동 구조가 논리적이고 구조상 맞다.  

### ANSWER
C"
Syntax,Argument Structure & Valency,1,H,H,"### 추론:  
문제는 주어가 직접 행위를 하는 동사(활동적 동사)를 사용한 문장을 찾는 것입니다. 옵션 중 **H**은 ""영희가 ... 걸었다""로, 주어(영희)가 직접 걸어가는 행위를 수행하는 활동적 동사 **""걸었다""**를 사용합니다. 다른 옵션들은 모두 주어가 행위를 체험하거나 상태를 겪는 것(예: 얼어붙다, 깨지다, 나타나다, 죽다 등)을 표현합니다.  

### ANSWER  
H"
Semantics,Semantic Compatibility,1,C,C,"문장 중 어색하지 않은 것은 동작과 표현이 자연스럽고 논리적인 **C**입니다. ""주머니에서 동전 하나가 빠져나와 하수구로 쏙 들어가버렸다""는 일상적 상황을 정확히 묘사하며 문법 및 표현이 정상적입니다. 다른 옵션들은 비현실적인 인격화(예: B, J), 잘못된 어휘 사용(예: A, D, E), 또는 불일치하는 주어-동사 관계(예: F, G, H, I)로 인해 어색합니다.

### ANSWER
C"
Syntax,Agreement,1,C,C,"### 분석:
피동 표현을 능동으로 바꿀 수 없는 것은 피동의 주체가 의도적 행위자가 아닐 때입니다. 각 옵션에서 피동의 주체(예: 진실, 난제, 유리잔 등)를 능동의 주어로 전환할 수 있는지 확인합니다. **C 옵션**은 ""독감에 걸렸다""로, 질병(독감)이 의도적 행위자가 아니므로 능동 표현 **""독감이 그를 걸었다""**는 논리적이지 않습니다. 다른 옵션들은 모두 명확한 행위자(탐정, 수학자, 할머니 등)가 존재하여 능동으로 전환 가능합니다.

### ANSWER
C"
Syntax,Argument Structure & Valency,1,D,D,"지문의 서술어 ""두었다""는 주어(나), 목적어(인형을), 위치 보조어(책상 위에) 세 필수 성분이 필요합니다. 옵션 중 **D: 회장은 그를 후계자로 삼았다**도 주어(회장은), 목적어(그를), 목적어 보조어(후계자로) 세 필수 성분이 필요하여 개수 일치합니다. 다른 옵션은 2개 이하입니다.

### ANSWER
D"
Semantics,Conjunctions,2,B,B,"지문을 분석해 보자. 첫 문장은 오늘 일정이 없어 시간적 여유가 생겼음을 설명한다. 첫 번째 괄호는 이 상황을 인과적으로 연결해야 하며, '덕분에'가 적절하다(예: 일정이 없기 때문에 시간 생김). 두 번째 문장은 공부할 시간이 생겼지만 잡무가 많았다는 반대 상황을 나타내므로 '하지만'이 적합하다. 세 번째 문장은 잡무로 인해 공부를 하지 못했다는 결과를 설명하므로 인과 관계를 나타내는 '따라서'가 적합하다. 마지막 문장은 공부는 하지 못했지만 그 자체로도 중요하다는 결론이므로 '그래도'(아직도)가 적절하다. 옵션 B가 이 논리 흐름에 정확히 부합한다.

### ANSWER
B"
Syntax,Embedded Clauses,2,I,I,"### 문제 분석:  
관형절은 명사를 수식하는 절로, 보통 동사나 형용사에서 유래한 형태로 나타납니다 (예: -는, -던 등). 주어된 문장 중에서 명사를 수식하는 관형절이 포함된 문장을 찾아야 합니다.  

- **I 옵션**: ""옛이야기를 해주시던 할머니가 그리워""에서 **""해주시던""**은 동사에서 유래한 관형절로 **""할머니""**를 수식합니다 (할머니가 옛이야기를 해주던 상태를 나타냄). 이는 명확한 관형절 구조입니다.  
- 다른 옵션들은 주절이나 보어절, 비교구 등으로 관형절이 없습니다 (예: A, D는 명사화된 절, H는 비교구 ""일수록"" 구조).  

### ANSWER  
I"
Syntax,Embedded Clauses,2,B,B,"### 생각 과정
관형절은 명사를 수식하는 절로, 보통 동사나 형용사의 형태로 나타나며 명사 앞에 위치한다.  
- **B 선택지**: ""보리쌀을 섞은 밥""에서 ""보리쌀을 섞은""이 ""밥""을 수식하는 관형절이다.  
- 다른 선택지는 단순 주어-서술어 구조 또는 명사화된 절이지만, 명사를 직접 수식하는 관형절은 B에만 존재한다.

### ANSWER
B"
Syntax,Embedded Clauses,2,D,D,"### 추론
문제는 ‘부사어’ 역할을 하는 문장을 찾는 것입니다. 부사어는 동사나 어절을 수식하는 문장입니다. 각 옵션을 분석하면, **D**의 ""밤이 새도록""은 ""응시했다"" 동사를 수식하여 시간적 범위를 나타내는 부사어 역할을 합니다. 다른 옵션들은 주어, 목적어 등 다른 문법 역할을 합니다.

### ANSWER
D"
Syntax,Embedded Clauses,2,F,F,"문장에서 ‘관형어’는 명사를 수식하는 동사나 형용사 형태를 의미한다. 각 문항을 분석하면, **F번**의 ""딸꾹질하던""이 ""빈민""을 수식하는 관형어 구조이다. 여기서 ""딸꾹질하다"" 동사가 ""-던"" 어미를 붙여 명사 ""빈민""를 수식하고 있기 때문이다. 다른 문항에서는 관형어 구조가 명확히 나타나지 않는다.

### ANSWER
F"
Syntax,Embedded Clauses,2,J,J,"### 분석:  
부사절은 동사나 형용사나 부사의 어휘를 설명하는 의존절로, 보통 '-서', '-며', '-기로', '-더니' 등의 어미를 사용한다. 문장 내에서 주절을 수식하는 부분을 찾아야 한다.  

- **J**: ""도망치다시피 뛰어나갔다""에서 ""도망치다시피""는 ""도망치다""의 형태에 ""-시피""를 붙여 **방법/상태를 설명하는 부사절**로, 주절 ""뛰어나갔다""를 수식한다.  
- 다른 옵션들은 명사절(예: D, H), 정형사절(예: C, G, I), 또는 단순 부사(예: A, B, E, F)로 부사절이 없다.  

### ANSWER  
J"
Pragmatics,Discourse Principles,2,H,G,"### 분석  
대화에서 을의 반응을 살펴보면, 갑이 ""어제 뭘 했는데 이렇게 졸아?""라고 물었을 때 을은 ""그냥 피곤해서 그래""라고 답하며 **질문의 핵심(어제 뭘 했는가)에 직접적으로 대답하지 않고** 피곤한 이유만 언급합니다. 이후 ""회사에서 철야했어?""라는 질문에는 ""응""으로 간결히 답하지만, 갑이 ""하던 일은 이제 거의 다 됐겠네""라고 언급할 때는 ""오늘 야근 확정이야""라고 추가로 말하며 **이전 발화와 직접적인 관련이 없는 새로운 정보를 제공**합니다. 이는 대화의 흐름에서 반복적으로 관련성 없는 내용을 언급하는 태도로 해석될 수 있으며, 갑과의 대화에 적극적으로 참여하고 싶지 않다는 의도를 나타낼 수 있습니다. 다른 옵션들은 대화 내용과 일치하지 않습니다(A, B, C, D, E, F, H, I, J).

### ANSWER
G"
